"","f","k","du","dv","interface"
"33",0.00536556,0.008598581,0.00570514,6.27e-07,7.03125
"34",0.193916256,0.082649487,0.006979416,8.54e-05,51.5234375
"35",0.236219697,0.049646646,0.000305531,0.000112892,0
"36",0.04407222,0.039542362,0.000503695,1.15e-05,165.4296875
"37",0.040598496,0.06511884,0.021629493,2.65e-05,7.94921875
"38",0.1602722,0.086941061,1.2e-05,3.62e-06,0
"39",0.014597384,0.036828305,0.057105809,0.000176745,29.3359375
"40",0.199519939,0.027813935,0.000221904,5.82e-05,51.25976563
"41",0.064402786,0.079765116,0.007083314,0.000128802,35.65429688
"42",0.111748222,0.069287205,8.21e-06,1.74e-06,7.34375
"43",0.219851046,0.040546188,0.001890749,0.00063753,0
"44",0.103371367,0.012505378,0.000269627,5.44e-05,0
"45",0.038376374,0.010988018,0.000423232,1.66e-05,0
"46",0.196155039,0.095059186,2.61e-05,1.27e-05,0
"47",0.111884066,0.0226149,0.000206174,1.29e-05,0
"48",0.238363226,0.00266458,0.016717079,6.82e-08,4.6484375
"49",0.130597595,0.068979144,2.43e-06,1.06e-06,0
"50",0.148400579,0.000235531,3.42e-06,1.12e-06,0
"51",0.098330258,0.044889134,0.000156936,1.75e-06,461.3378906
"52",0.078280298,0.086015745,2.49e-05,1.94e-07,9.375
"53",0.031353496,0.04672772,0.000409622,3.07e-05,96.89453125
"54",0.118967613,0.047605463,9.34e-05,2.45e-05,0
"55",0.14441271,0.039067442,0.000213363,3.94e-07,26.5625
"56",0.194108369,0.087691406,0.000198798,4.6e-05,0
"57",0.011086513,0.040644945,0.003659452,0.000187061,22.56835938
"58",0.131347244,0.056050051,8.13e-05,3.78e-06,377.4023438
"59",0.17875234,0.078193104,0.003609888,1.93e-05,93.62304688
"60",0.094300479,0.084491939,0.000186652,2.34e-05,108.7109375
"61",0.236555706,0.047491689,0.003319683,1.63e-05,115.6152344
"62",0.124833048,0.073754337,0.000336616,0.000321002,0
"63",0.116697181,0.069283239,0.001912095,0.001203213,0
"64",0.083314785,0.023053108,0.000119439,9.47e-05,0
"65",0.051815878,0.0145692,5.69e-05,7.09e-06,2.197265625
"66",0.051203446,0.053162434,0.00394544,1.48e-07,6.5625
"67",0.198392314,0.025147678,0.000560088,3.71e-06,357.8125
"68",0.047269691,0.029813655,0.000926253,8.43e-06,171.2109375
"69",0.247112509,0.094094615,2.41e-06,3.09e-07,0
"70",0.169108032,0.024695367,8.02e-05,5.49e-06,303.4082031
"71",0.122585285,0.086801763,6.03e-05,1.82e-05,0
"72",0.245035839,0.055045193,0.000249161,5e-07,8.125
"73",0.089056364,0.085700967,0.003888254,0.002290434,0
"74",0.183159021,0.033683457,9.75e-05,8.63e-05,0
"75",0.128737004,0.061880217,0.001717408,8.8e-06,149.1113281
"76",0.038109872,0.088858654,0.109299484,8.41e-05,7.4609375
"77",0.023595044,0.049255074,2.92e-05,2.87e-05,0
"78",0.21313179,0.040986382,0.000295006,4.47e-05,80.9765625
"79",0.198148216,0.064969931,0.000250802,6.11e-05,0
"80",0.203870688,0.061692958,0.004150697,3.83e-06,27.5390625
"81",0.16199469,0.020244103,0.000889753,4.67e-05,102.0996094
"82",0.027222359,0.096374454,0.000221216,2.62e-06,136.5917969
"83",0.072246327,0.046583092,0.001084283,7.46e-07,42.1875
"84",0.177004085,0.091498408,0.042450883,3.74e-05,5.5859375
"85",0.210233698,0.039593413,0.000257952,0.000249263,0
"86",0.199388521,0.024408986,7.81e-05,6.45e-06,331.3378906
"87",0.049921182,0.0527481,7.41e-06,4.2e-06,0
"88",0.19715667,0.032278353,3.96e-06,3.06e-08,6.09375
"89",0.056073567,0.042267496,0.003979053,1.09e-05,58.84765625
"90",0.133870372,0.096287856,0.000318436,2.68e-06,351.9042969
"91",0.206872356,0.051900646,7.54e-05,1.99e-08,8.59375
"92",0.075278768,0.017204467,5.15e-05,5.37e-07,438.4277344
"93",0.202499364,0.006298639,0.000290136,1.37e-05,201.0351563
"94",0.184183126,0.019825545,0.000339557,4.38e-06,381.1132813
"95",0.220467913,0.097651876,6.08e-05,1.33e-05,0
"96",0.005400044,0.068623627,1.83e-05,6.65e-07,168.3300781
"97",0.166156906,0.060492231,0.000911561,2.63e-05,131.6015625
"98",0.202286114,0.06905569,0.030578655,0.003801414,0
"99",0.065732005,0.051658242,0.051982014,4.36e-06,4.21875
"100",0.15009853,0.063121714,3.83e-05,4.47e-06,235.4394531
"101",0.063766111,0.049224999,0.017393352,0.000124655,21.62109375
"102",0.045561229,0.045473618,0.000482713,2.38e-06,223.2714844
"103",0.000613685,0.067529655,2.46e-05,1.49e-05,0
"104",0.141869528,0.083876991,0.003504615,0.000180472,42.67578125
"105",0.061634085,0.052684438,0.035716424,1.39e-05,10.46875
"106",0.045004079,0.073806369,0.000102948,9.48e-06,161.1621094
"107",0.087092078,0.077455704,0.001490883,5.5e-06,129.2382813
"108",0.219922943,0.0504807,0.000639578,6.93e-05,68.58398438
"109",0.216188754,0.01889,5.93e-06,6.77e-07,11.1328125
"110",0.104369529,0.066765585,0.005155572,5.59e-05,60.14648438
"111",0.239405788,0.088354092,1.45e-05,2.83e-06,0
"112",0.022605679,0.087040564,0.005723665,0.001365641,0
"113",0.23281684,0.02642616,0.000251055,8.97e-05,0
"114",0.140226678,0.050026198,0.000135003,2.05e-06,465.1367188
"115",0.089521752,0.071119405,6.17e-06,4.38e-06,0
"116",0.121338924,0.091255233,0.000169654,5.61e-05,0
"117",0.124399396,0.029487172,6.47e-05,3.3e-06,330.2734375
"118",0.012114791,0.028631786,0.000460026,0.000267296,0
"119",0.19012608,0.056412591,0.000808204,0.000488387,0
"120",0.022241313,0.027768926,0.538960699,2.46e-05,6.015625
"121",0.168609414,0.025046231,0.000155705,2.57e-06,485.9179688
"122",2.75e-06,0.048964201,0.00046165,1.13e-05,0
"123",0.110329362,0.001270036,0.003347621,1.17e-05,13.2421875
"124",0.010220809,0.091523784,1.16e-06,4.79e-07,0
"125",0.184749181,0.016884863,0.001795732,7.06e-06,14.7265625
"126",0.174698751,0.076477066,1.96e-05,2.96e-06,4.0625
"127",0.143470914,0.019893571,0.012631808,4.8e-06,4.921875
"128",0.074934798,0.059800024,0.187541988,1.16e-07,5.1953125
"129",0.041860563,0.028510252,0.000709196,0.000115927,0
"130",0.202883478,0.071308289,0.002916273,4.22e-06,63.515625
"131",0.214063427,0.079130312,0.001469589,7.07e-05,69.35546875
"132",0.124236411,0.023503956,0.014650131,8.24e-07,4.1015625
"133",0.030660033,0.07050392,0.000221442,0.000211035,0
"134",0.048739413,0.028940061,0.000253749,4.29e-06,244.7753906
"135",0.233806297,0.089053591,0.015154726,0.000134235,23.22265625
"136",0.087591459,0.03026015,0.00089789,3.17e-05,93.88671875
"137",0.200071374,0.000117168,0.012975614,0.000843433,0
"138",0.100631842,0.04232194,0.000229021,3.15e-07,59.21875
"139",0.086426332,0.048885797,0.003031196,2.46e-05,85.90820313
"140",0.01641064,0.084338322,0.000232024,5.55e-06,82.90039063
"141",0.141358491,0.099401255,0.000252963,0.000162144,0
"142",0.097118351,0.004986583,0.001434661,4.32e-05,0
"143",0.180398751,0.076915665,0.006639051,2.95e-05,35.95703125
"144",0.039680722,0.059299446,0.00123495,2.43e-05,82.8515625
"145",0.246444148,0.086079555,0.000932946,1.97e-06,51.3671875
"146",0.150017872,0.046217462,0.001516404,1.06e-06,46.953125
"147",0.227318156,0.090391571,0.000260612,4.49e-05,0
"148",0.183064789,0.026615119,0.000592693,8.15e-05,66.06445313
"149",0.210927866,0.060608052,8.4e-05,4.54e-06,258.1542969
"150",0.022908314,0.022620379,0.002555709,1.31e-05,63.66210938
"151",0.18912855,0.026302853,1.94e-05,5.3e-07,11.7578125
"152",0.233582373,0.01075322,0.001004748,1.65e-05,186.5136719
"153",0.054295371,0.037246008,0.00014845,2.17e-06,352.8710938
"154",0.123155462,0.073296021,0.032050964,0.000176518,17.59765625
"155",0.068016264,0.046024933,0.000383552,1.62e-06,323.7890625
"156",0.049021748,0.086032748,3.75e-05,3e-07,9.375
"157",0.229987753,0.062453631,0.000721691,0.000339069,0
"158",0.21572812,0.070410749,2.27e-05,1.44e-06,6.71875
"159",0.096776041,0.020752143,4.45e-05,3.43e-06,0
"160",0.068862573,0.0719635,5.98e-05,4.64e-07,133.0078125
"161",0.066426854,0.022411078,0.001578536,2.96e-05,75.79101563
"162",0.190010503,0.05346287,0.072417431,6.78e-06,3.5546875
"163",0.18137313,0.020765462,0.01786308,6.89e-07,3.828125
"164",0.102777504,0.0682922,0.001570009,3.87e-05,90.95703125
"165",0.00966675,0.010301802,7.6e-07,1.02e-07,0
"166",0.185594627,0.078120843,0.000353522,0.000139641,0
"167",0.032033695,0.086386633,0.000174253,2.97e-05,52.45117188
"168",0.129992922,0.082244969,0.000201749,1.91e-05,129.375
"169",0.108471461,0.017159163,3.53e-05,6.2e-07,514.1210938
"170",0.052284387,0.066618251,5.79e-05,5.69e-05,0
"171",0.095975558,0.070323284,2.12e-06,1.87e-07,8.59375
"172",0.029466965,0.001547649,1.11e-05,3.26e-07,2.578125
"173",0.086641697,0.054174103,0.024465832,0.002308037,0
"174",0.102820538,0.053916274,0.000158968,6.97e-05,0
"175",0.1494674,0.056402227,0.071936474,7.01e-07,3.828125
"176",0.240718754,0.095485418,5.84e-05,1.35e-07,4.84375
"177",0.115046254,0.06999398,0.000199009,6.76e-08,7.34375
"178",0.037745665,0.099451762,0.000126132,1.35e-05,84.39453125
"179",0.099985121,0.081121586,0.00507173,0.000391206,10.5859375
"180",0.188918625,0.050532963,0.000132082,3.21e-05,2.734375
"181",0.146358212,0.012094247,6.99e-05,3.67e-07,180.0976563
"182",0.069375074,0.039459881,0.056930285,0.000360447,16.77734375
"183",0.099925384,0.032178246,2.32e-05,5.6e-06,0
"184",0.212968411,0.009542508,0.003701481,2.27e-05,128.7109375
"185",0.175534882,0.060445685,0.003663335,1.14e-05,51.484375
"186",0.008669348,0.016775837,0.000322241,2.73e-05,0
"187",0.201490013,0.056159621,0.001636192,0.00118613,0
"188",0.045994936,0.0680687,0.000130814,2.9e-05,93.30078125
"189",0.093044962,0.026622696,8.95e-05,1.06e-05,0
"190",0.19385989,0.02468978,0.002435977,0.001126137,0
"191",0.046847594,0.054553608,0.003708968,3.77e-05,66.1328125
"192",0.245449641,0.064795577,0.00047908,8.55e-06,235.5664063
"193",0.168461132,0.054649506,8.84e-05,3.38e-06,325.8691406
"194",0.126488657,0.035215494,2.1e-05,3.37e-07,12.5
"195",0.020052587,0.097316484,0.004439105,3.15e-05,24.0234375
"196",0.246007347,0.034263156,7.78e-07,5.61e-07,0
"197",0.027930429,0.087882604,8.82e-05,1.61e-06,277.5683594
"198",0.038695521,0.071628071,5.83e-05,2e-06,376.875
"199",0.031819047,0.081939027,0.020413125,2.98e-05,18.359375
"200",0.123430406,0.038994227,0.000161042,8.26e-06,244.5410156
"201",0.088948368,0.08718055,0.001144926,2.54e-06,99.1796875
"202",0.066089808,0.098722283,2.24e-06,1.46e-06,0
"203",0.021140304,0.019997968,0.001994345,0.001516395,0
"204",0.22068918,0.090913968,0.00250935,5.01e-05,78.359375
"205",0.01804478,0.010462421,0.002764243,2.79e-05,9.658203125
"206",0.236557498,0.074904485,0.001396109,1.49e-05,145.390625
"207",0.058306907,0.072110695,0.000333425,4.21e-08,9.84375
"208",0.138414143,0.088299901,1.86e-05,1.76e-06,7.65625
"209",0.108012719,0.038061211,0.000767419,1.92e-05,166.0449219
"210",0.20013293,0.004963907,0.002349475,0.00061998,0
"211",0.247030821,0.06460164,0.000192815,3e-05,2.5390625
"212",0.139452603,0.021820234,5.73e-05,2.29e-05,0
"213",0.222726713,0.034501192,0.000199987,7.91e-08,7.34375
"214",0.188155744,0.05105211,0.000144705,8.65e-05,0
"215",0.014749776,0.08920853,7.22e-05,4.99e-05,0
"216",0.144054603,0.097531065,8.42e-05,3.29e-08,7.5
"217",0.095381034,0.088079789,0.000540884,5.22e-05,73.84765625
"218",0.141083255,0.000444392,0.000693743,9.98e-05,0
"219",0.026578369,0.090714595,7.35e-05,3.1e-05,0
"220",0.078078638,0.072237107,0.003197037,0.000501708,0
"221",0.128063532,0.003242418,1.31e-05,5.99e-08,16.40625
"222",0.060409984,0.064000282,0.000116199,9.9e-05,0
"223",0.10518179,0.016349489,3.58e-05,1.03e-05,0
"224",0.192817374,0.075117623,0.002348556,0.001142746,0
"225",0.019660211,0.085453995,3.66e-05,2.57e-05,0
"226",0.235899852,0.06799945,0.008837666,0.000475627,0
"227",0.133085098,0.048598585,0.000159464,4.56e-09,9.53125
"228",0.057029815,0.010367793,1.02e-05,1.35e-07,987.8613281
"229",0.167407491,0.04610854,0.002266454,8.72e-09,4.6484375
"230",0.21569198,0.086914329,0.000580187,0.0001472,0
"231",0.114898788,0.02603017,2.35e-06,1.02e-06,5.46875
"232",0.245000294,0.008309059,3.83e-05,1.94e-06,372.4414063
"233",0.07560183,0.015012777,0.00038882,1.24e-06,294.5898438
"234",0.207826615,0.030179685,4.15e-05,2.33e-05,0
"235",0.050893308,0.002643297,0.000423082,0.000110691,0
"236",0.190224339,0.095103143,6.83e-05,6.28e-06,6.875
"237",0.199226591,0.013893992,5.24e-06,7.88e-07,5.1171875
"238",0.059755364,0.021284984,0.00051913,4.44e-07,53.1640625
"239",0.123615989,0.08707311,0.000343468,8.63e-06,189.7949219
"240",0.177122498,0.093781171,0.000100552,7.08e-05,0
"241",0.14560463,0.086702021,0.000219569,1.1e-06,130.546875
"242",0.087522554,0.000235017,0.000779012,3.67e-05,0
"243",0.126568392,0.005420553,1.85e-05,1.6e-05,0
"244",0.114752666,0.044901432,0.028533748,6.35e-06,5.1953125
"245",0.016032605,0.066948115,1.01e-05,5.59e-06,0
"246",0.236306649,0.027270213,0.000542367,1.88e-05,168.7402344
"247",0.214258644,0.059718001,0.012893393,0.000539991,0
"248",0.079294612,0.054974432,0.027878907,0.00017698,23.90625
"249",0.055113401,0.027647127,0.002737716,1.64e-05,88.64257813
"250",0.135926449,0.010035998,2.13e-05,1.09e-05,0
"251",0.049681406,0.045046233,0.000843358,9.46e-07,10.78125
"252",0.068343864,0.01117286,0.000345122,6.72e-07,211.484375
"253",0.105602162,0.095897266,0.000862498,0.000413924,0
"254",0.218033398,0.022168588,8.47e-05,5.08e-07,7.5
"255",0.192229308,0.011051519,0.000539179,0.000313093,0
"256",0.100312591,0.01562731,0.000140815,6.27e-06,0
"257",0.045721734,0.041889909,0.000174502,5.52e-06,255.46875
"258",0.078805664,0.008231062,0.009429045,1.08e-07,4.375
"259",0.230872548,0.013909842,0.001202514,7.99e-05,91.88476563
"260",0.085829177,0.004023682,2.52e-05,2.39e-06,3.41796875
"261",0.1330863,0.000945525,0.000230895,3.71e-06,279.9121094
"262",0.078417925,0.06289915,0.018974698,8.36e-07,5.46875
"263",0.223764857,0.025061475,5.41e-05,1.77e-06,347.9882813
"264",0.088790168,0.043639596,0.005099623,0.000200638,45.1171875
"265",0.091635401,0.026522103,0.000131302,2.56e-05,2.451171875
"266",0.244725915,0.011080861,0.000152339,3.62e-05,4.21875
"267",0.121934658,0.002392294,0.049208634,4.53e-05,3.90625
"268",0.232165838,0.009790418,0.001666953,2.95e-07,12.96875
"269",0.187011111,0.022284866,0.000197344,6.42e-05,0
"270",0.034009162,0.044725128,0.004008325,0.000293539,25.04882813
"271",0.090371915,0.058135093,0.004383392,1.21e-06,5.234375
"272",0.07851366,0.009813181,4.76e-05,1.14e-05,0
"273",0.232170472,0.004167306,3.77e-05,3.82e-06,363.046875
"274",0.106499916,0.038456417,0.002726466,2.47e-06,29.55078125
"275",0.190745768,0.087186135,0.001064097,0.000222623,0
"276",0.021221711,0.047131963,0.213560324,0.000279121,9.375
"277",0.247436571,0.057617764,5.39e-05,2.82e-05,0
"278",0.117191235,0.067577676,0.028165331,0.00057427,0
"279",0.084989461,0.027103769,0.000344489,6.19e-06,263.125
"280",0.206822559,0.067816541,9.35e-05,4.86e-07,6.09375
"281",0.109239206,0.070243737,1.76e-05,4.13e-06,4.375
"282",0.242157436,0.019341299,0.002444496,5.29e-06,9.5703125
"283",0.061162541,0.007927021,0.000337083,4.1e-05,0
"284",0.094989148,0.094251138,0.000445242,9.85e-05,3.515625
"285",0.118241922,0.008959529,0.00147779,0.000170353,0
"286",0.097710909,0.088048028,0.000270802,0.000119474,0
"287",0.102628627,0.002668795,0.025667414,0.000216184,19.97070313
"288",0.129053928,0.053714056,0.000124124,0.000105291,0
"289",0.025651761,0.036223777,0.001076537,1.88e-07,6.5625
"290",0.171770588,0.015448217,0.007390585,2.49e-06,7.421875
"291",0.138386673,0.051988548,0.001104416,8.05e-05,83.0859375
"292",0.202008206,0.066011285,0.000109647,5.4e-05,0
"293",0.067978858,0.078351889,7.66e-05,4.64e-06,276.5917969
"294",0.13010766,0.058592742,2.46e-05,3.12e-06,293.7988281
"295",0.13989793,0.069013702,0.008299068,9.15e-06,29.35546875
"296",0.118725466,0.008682275,0.054142231,0.00317146,0
"297",0.171435206,0.008962617,7.48e-05,8.99e-06,0
"298",0.108857229,0.012554608,0.001600974,0.000223412,0
"299",0.14154743,0.055438718,0.000143697,1.43e-06,324.4726563
"300",0.185642995,0.055828485,0.001556111,0.001024551,0
"301",0.176786249,0.060999559,0.000201525,1.08e-05,220.0195313
"302",0.039353585,0.090904164,3.64e-06,3.43e-07,2.65625
"303",0.144116892,0.06822966,0.003326409,2.3e-05,92.23632813
"304",0.218708467,0.030877957,0.003974273,8.8e-08,4.921875
"305",0.101689226,0.077943487,0.000877029,1.58e-05,130.9472656
"306",0.232977088,0.074979294,4.34e-05,3.16e-07,5.15625
"307",0.082082457,0.083286273,0.000177217,4.16e-07,12.5
"308",0.061333198,0.027583589,0.007606179,0.000222478,21.03515625
"309",0.157792378,0.028481875,0.000112282,4.15e-08,9.0625
"310",0.238820963,0.002188036,0.031042213,0.000178648,21.40625
"311",0.163611326,0.056534319,0.000478453,0.000298368,0
"312",0.064003236,0.06666128,5.87e-05,5.6e-06,264.2089844
"313",0.164822973,0.06626971,4.73e-05,5.56e-07,6.875
"314",0.126622966,0.06045498,0.000131782,2.12e-08,9.6875
"315",0.242332221,0.044759442,9.5e-06,9.2e-09,6.875
"316",0.131242155,0.038818344,0.000775694,4.16e-05,118.6328125
"317",0.082135902,0.03043306,1.98e-05,1.07e-06,274.296875
"318",0.152546384,0.010229994,0.003697336,1.1e-06,7.65625
"319",0.003013671,0.026592651,0.000261635,3.51e-05,0
"320",0.21291826,0.018146379,1.36e-06,3.03e-07,10.3125
"321",0.06834626,0.090268492,0.010006942,0.001417978,0
"322",0.102618088,0.019997821,0.000109612,2.26e-05,0
"323",0.047346289,0.019853556,0.000144195,3.03e-05,0
"324",0.184355342,0.029254843,1.39e-06,5.99e-09,12.96875
"325",0.058255504,0.078117524,0.000161216,8.1e-06,179.5605469
"326",0.060006427,0.049510577,0.001046106,3.91e-05,97.86132813
"327",0.01744673,0.082646197,0.000243756,0.000127673,0
"328",0.067984413,0.066722989,0.005050365,1.46e-06,5.3515625
"329",0.234368508,0.083617209,0.021182733,3.71e-06,3.0078125
"330",0.129957048,0.017320349,0.322655314,2.01e-08,3.5546875
"331",0.09955037,0.076286181,0.00735439,2.24e-05,51.640625
"332",0.167181114,0.005450915,0.000100492,1.92e-05,1.865234375
"333",0.142069617,0.082951219,0.000192117,7.39e-06,235.4882813
"334",0.145894879,0.080296992,0.549765562,0.001892858,0
"335",0.194250787,0.014961574,0.001853232,0.000113856,66.18164063
"336",0.218413857,0.07252785,2.2e-06,1.86e-07,0
"337",0.096258414,0.045551457,1.96e-05,9.25e-08,13.125
"338",0.016544934,0.057075706,0.003221379,0.000547314,13.33007813
"339",0.071021511,0.048826498,0.000286226,7e-06,239.2089844
"340",0.120141325,0.054444794,0.001134023,2.67e-06,127.6269531
"341",0.079903702,0.060431635,2.21e-06,2.11e-06,0
"342",0.13698419,0.042888671,1.29e-05,9.11e-06,0
"343",0.135895439,0.079294686,2.01e-05,9.57e-06,0
"344",0.12594314,0.096983544,0.000905146,4.99e-05,74.23828125
"345",0.174446725,0.082396084,1.1e-05,1.39e-06,1.71875
"346",0.009863795,0.080203022,0.000439953,0.000186142,0
"347",0.20776255,0.052580623,1.29e-05,3.5e-06,0
"348",0.058663242,0.055678135,0.001847535,2.4e-05,88.125
"349",0.080300101,0.054437378,0.002513842,0.000165428,49.16015625
"350",0.204430998,0.045804498,3.53e-05,5.15e-08,8.90625
"351",0.016919461,0.007477903,0.000579151,9.33e-06,3.974609375
"352",0.02513005,0.021652565,0.000236871,1.62e-05,0
"353",0.197255368,0.092554943,0.008732829,0.001520945,0
"354",0.080820584,0.065617463,0.000327856,1.83e-06,344.3652344
"355",0.064349371,0.025027021,0.008714031,1.31e-05,9.98046875
"356",0.080547078,0.058720073,0.000243593,6.53e-07,255.2929688
"357",0.019087171,0.016072988,0.000325588,0.000316147,0
"358",0.003139828,0.08024971,0.000984887,1.03e-06,24.08203125
"359",0.036235466,0.096411146,0.000972243,1.15e-05,75.98632813
"360",0.234496306,0.022564388,0.00126449,1.2e-06,30.46875
"361",0.241725506,0.082427321,0.000878087,2.34e-06,152.0117188
"362",0.039365973,0.089083721,2.6e-07,2.52e-07,0
"363",0.200656983,0.053896839,1.56e-05,8.93e-06,0
"364",0.010175814,0.031885852,1.64e-06,7.25e-07,0
"365",0.243564464,0.034924791,0.000962561,2.82e-05,137.96875
"366",0.228816551,0.008918487,0.002590338,9.92e-06,81.796875
"367",0.2215943,0.015326129,0.024080228,0.004801925,0
"368",0.045971216,0.093176219,2.86e-05,1.1e-05,0
"369",0.189852378,0.075803307,0.000702076,9.64e-05,5.2734375
"370",0.020205682,0.00616427,0.002592409,5.75e-06,33.125
"371",0.154487246,0.017333336,3.01e-05,3.77e-07,11.9140625
"372",0.089911445,0.093458278,0.000372316,5.49e-05,53.72070313
"373",0.018649946,0.019166688,0.040032162,2e-05,14.04296875
"374",0.002468542,0.002972688,0.002720694,4.48e-06,28.14453125
"375",0.239351459,0.088616361,7.65e-05,5.92e-07,5.46875
"376",0.086061396,0.023623027,0.001108157,5.29e-05,0
"377",0.088840224,0.01404138,0.000193314,1.93e-05,0
"378",0.048848664,0.03811286,0.002274044,1.74e-06,24.43359375
"379",0.150050205,0.049400464,0.036525636,0.000858302,0
"380",0.015422387,0.000158419,1.4e-05,1.23e-06,0
"381",0.022035971,0.085211292,0.000102666,9.91e-06,86.3671875
"382",0.044143637,0.047990297,0.005244163,1.58e-07,4.921875
"383",0.247514525,0.005731968,0.003881435,0.000138591,67.84179688
"384",0.060496021,0.081331891,0.001464933,0.000169758,37.95898438
"385",0.200856314,0.042544506,0.000146416,4.36e-08,10.3125
"386",0.058586776,0.065730272,3.77e-05,1.92e-05,7.3046875
"387",0.144817362,0.012194758,0.000872896,3.74e-05,83.56445313
"388",0.033081755,0.014903626,0.000310565,2.28e-05,2.802734375
"389",0.062772613,0.081757474,0.000277524,2.87e-07,18.1640625
"390",0.186944462,0.021056955,0.000330291,1.66e-05,210.4003906
"391",0.113972561,0.077637387,0.002345473,7.03e-05,68.046875
"392",0.178024962,0.060028083,0.018037153,1.82e-05,7.32421875
"393",0.2404726,0.084187969,7.68e-05,3.46e-07,6.71875
"394",0.21975892,0.061619805,0.000433817,7.69e-06,255.4882813
"395",0.067698148,0.062632682,0.000136165,4.36e-06,279.7558594
"396",0.210574052,0.051758159,0.019756706,7.95e-06,4.5703125
"397",0.011922441,0.083899146,0.000277541,2.32e-06,89.140625
"398",0.163398084,0.071804597,0.044407467,0.000387922,5.703125
"399",0.183328508,0.036017161,5.83e-06,1.57e-06,7.5
"400",0.170273725,0.072600839,0.000196933,3.48e-06,411.3769531
"401",0.120402262,0.068194108,0.000327585,2.36e-05,138.1835938
"402",0.115227012,0.008634477,0.000857943,2.51e-05,37.56835938
"403",0.024756483,0.048796119,0.053151118,0.000312215,13.1640625
"404",0.178111936,0.018370691,0.000726975,0.000246992,0
"405",0.08666432,0.073983015,2.41e-05,1.97e-05,0
"406",0.064558067,0.023177481,5.21e-05,2.4e-05,0
"407",0.073251778,0.037890578,0.000118718,3.2e-05,0
"408",0.027544609,0.060875372,2.77e-05,9.61e-08,9.84375
"409",0.026956213,0.077932429,0.000553926,0.000109005,30.28320313
"410",0.213040441,0.033603106,1.55e-05,1.08e-06,6.875
"411",0.235281056,0.088251554,0.002710816,2.45e-05,77.39257813
"412",0.233210719,0.053285701,1.55e-05,5.98e-07,4.84375
"413",0.029865189,0.071581008,0.000207859,0.00018099,0
"414",0.101079216,0.092451782,2.15e-05,2e-05,0
"415",0.024192027,0.002797658,0.000353849,0.000267747,0
"416",0.139563998,0.051848881,0.001500909,1.06e-05,165.1269531
"417",0.160970835,0.044080583,0.001690601,1.76e-06,57.421875
"418",0.178743579,0.019561826,0.001705776,3.35e-05,131.6796875
"419",0.062564224,0.026306385,0.000515106,0.000281953,0
"420",0.058568991,0.078847874,1.96e-05,1.84e-05,0
"421",0.016391773,0.064929336,0.00040776,4.41e-05,45.96679688
"422",0.042744248,0.040950468,0.001771653,0.00061244,0
"423",0.138582253,0.093518346,0.186007116,4.15e-09,4.1015625
"424",0.139578248,0.075894949,2.11e-05,4.73e-06,3.125
"425",0.025722641,0.079716842,3.27e-05,4.08e-07,107.4121094
"426",0.082223557,0.047249989,0.000239677,5.76e-06,265.4101563
"427",0.1452377,0.061694678,2.97e-05,8.26e-07,8.75
"428",0.186714448,0.064730706,3.66e-05,2.62e-05,0
"429",0.040123565,0.067045231,0.011447603,0.000844848,0
"430",0.043038852,0.059992407,1.05e-05,6.38e-06,136.6992188
"431",0.164702198,0.01687796,0.003524476,0.000114384,63.56445313
